Date,Price,Open,High,Low,Vol.,Change %
09/13/2021,23.7,23.7,24,23.7,4.19M,-1.25%
09/10/2021,24,23.8,24,23.45,10.22M,0.84%
09/09/2021,23.8,24,24.1,23.5,9.14M,-0.83%
09/08/2021,24,24.2,24.2,24,7.41M,-0.83%
09/07/2021,24.2,24.25,24.3,24.2,14.30M,-0.21%
09/06/2021,24.25,24.1,24.25,24.15,7.45M,0.62%
09/03/2021,24.1,24.05,24.3,24,7.01M,0.21%
09/02/2021,24.05,24,24.05,23.95,13.71M,0.21%
09/01/2021,24,24,24.05,23.95,16.59M,0.00%
08/31/2021,24,24.25,24.2,23.9,10.14M,-1.03%
08/30/2021,24.25,24.4,24.4,24,9.08M,-0.61%
08/27/2021,24.4,24.3,24.45,24.35,16.36M,0.41%
08/26/2021,24.3,24.4,24.4,24.3,3.93M,-0.41%
08/25/2021,24.4,24.5,24.5,24.4,5.80M,-0.41%
08/24/2021,24.5,24.3,24.6,24.4,6.84M,0.82%
08/23/2021,24.3,24.3,24.4,24.3,5.59M,0.00%
08/20/2021,24.3,24.25,24.45,24.25,8.89M,0.21%
08/19/2021,24.25,24.2,24.3,24.1,5.81M,0.21%
08/18/2021,24.2,24.2,24.25,24.2,8.51M,0.00%
08/17/2021,24.2,24.25,24.25,24.2,3.55M,-0.21%
08/16/2021,24.25,24.4,24.4,24,5.38M,-0.61%
08/13/2021,24.4,24.3,24.4,24.25,7.68M,0.41%
08/12/2021,24.3,24.2,24.45,24.25,11.07M,0.41%
08/11/2021,24.2,24.1,24.25,24.15,3.31M,0.41%
08/10/2021,24.1,24.25,24.2,24.1,6.90M,-0.62%
08/09/2021,24.25,24.35,24.35,24.25,4.29M,-0.41%
08/06/2021,24.35,24.4,24.4,24.35,6.01M,-0.20%
08/05/2021,24.4,24.5,24.5,24.4,11.94M,-0.41%
08/04/2021,24.5,24.4,24.5,24.4,1.67M,0.41%
08/03/2021,24.4,24.6,24.5,24.4,7.19M,-0.81%
08/02/2021,24.6,24.55,24.65,24.55,7.84M,0.20%
07/30/2021,24.55,24.45,24.7,24.55,2.73M,0.41%
07/29/2021,24.45,24.4,24.5,24.35,6.01M,0.20%
07/28/2021,24.4,24.8,24.75,24.4,10.98M,-1.61%
07/27/2021,24.8,24.65,24.85,24.7,7.06M,0.61%
07/26/2021,24.65,24.85,24.9,24.65,8.06M,-0.80%
07/23/2021,24.85,24.65,25,24.65,24.29M,0.81%
07/22/2021,24.65,24.45,24.7,24.55,10.01M,0.82%
07/19/2021,24.45,24.45,24.6,24.1,3.64M,0.00%
07/16/2021,24.45,24.3,24.65,24.2,6.63M,0.62%
07/15/2021,24.3,24,24.3,24.2,3.56M,1.25%
07/14/2021,24,24.3,24.3,24,17.65M,-1.23%
07/13/2021,24.3,24.4,24.85,24.3,6.47M,-0.41%
07/12/2021,24.4,24.95,25,24.15,35.32M,-2.20%
07/09/2021,24.95,25,24.95,24.9,9.87M,-0.20%
07/08/2021,25,25,25,24.8,22.82M,0.00%
07/07/2021,25,24.8,25,24.25,27.54M,0.81%
07/06/2021,24.8,24.1,24.8,24.15,11.45M,2.90%
07/05/2021,24.1,24,24.15,23.95,13.31M,0.42%
07/02/2021,24,23.9,24,23.9,17.88M,0.42%
07/01/2021,23.9,23.75,23.9,23.75,9.82M,0.63%
06/30/2021,23.75,23.75,23.8,23.75,11.16M,0.00%
06/29/2021,23.75,23.65,23.85,23.7,11.13M,0.42%
06/28/2021,23.65,23.8,23.75,23.55,8.81M,-0.63%
06/25/2021,23.8,23.8,23.85,23.65,8.58M,0.00%
06/24/2021,23.8,23.5,23.8,23.5,13.57M,1.28%
06/23/2021,23.5,23.8,23.75,23.5,33.68M,-1.26%
06/22/2021,23.8,23.9,23.95,23.8,10.47M,-0.42%
06/21/2021,23.9,23.8,23.9,23.6,16.14M,0.42%
06/18/2021,23.8,23.5,23.8,23.45,44.97M,1.28%
06/17/2021,23.5,23.4,23.55,23.2,15.74M,0.43%
06/16/2021,23.4,23.35,23.4,23.25,9.76M,0.21%
06/15/2021,23.35,23.15,23.35,23.15,25.83M,0.86%
06/11/2021,23.15,23.1,23.2,23.1,25.72M,0.22%
06/10/2021,23.1,22.95,23.1,23,27.32M,0.65%
06/09/2021,22.95,22.9,22.95,22.9,20.76M,0.22%
06/08/2021,22.9,22.95,22.95,22.9,15.25M,-0.22%
06/07/2021,22.95,23,23,22.95,15.94M,-0.22%
06/04/2021,23,23,23,22.95,3.34M,0.00%
06/03/2021,23,22.95,23,22.95,27.51M,0.22%
06/02/2021,22.95,22.85,23,22.95,5.28M,0.44%
06/01/2021,22.85,23,23,22.85,20.48M,-0.65%
05/31/2021,23,23,23,22.95,20.93M,0.00%
05/28/2021,23,22.9,23,22.95,20.24M,0.44%
05/27/2021,22.9,22.8,23,22.9,5.85M,0.44%
05/26/2021,22.8,23.05,23,22.8,22.10M,-1.08%
